trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
51,False,"{'a': 0.5, 'e': 0.598956006466161}",20,5,11.75393066090172,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",25,14,3.2955478829864733,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,12,-8.73331939982608,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,0,-106.83584159199522,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",20,0,13.598696948755004,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",30,4,-35.48509114260857,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5639051904523875}",35,0,-82.2210412780297,"{0: 29, 1: 0, 2: 4, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478637}",20,0,-33.770713047001074,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",20,0,-68.8211565362736,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",25,14,-26.559332203503686,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",25,11,-37.910025230655855,"{0: 8, 1: 3, 2: 2, 3: 1, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.536268225207185}",25,15,-7.199269287037564,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",25,0,-16.47831526012253,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.525596487525562}",20,0,-41.41083886557375,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",30,18,14.543825584596146,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",20,0,-29.684022888365366,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",30,15,-17.984654457535722,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",30,0,-43.969563302457004,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",25,0,10.598357677636193,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",30,0,-85.50010534105049,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",20,0,-121.1659036150013,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",35,8,-49.809870392448616,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",20,6,-26.790128013618354,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",20,0,31.608955168952132,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",25,0,-122.24124210120017,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",20,2,-18.690899874915303,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",20,0,3.8739888458599623,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",20,0,-48.27853817577427,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",25,3,-9.109059416027536,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",20,0,-62.472808491807626,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",20,0,-14.677027047431038,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",35,0,-57.1809995654881,"{0: 27, 1: 2, 2: 4, 3: 2, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",25,0,-10.733942480907718,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.4298890135238935}",25,0,-45.69511936128377,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.4255901233886546}",25,0,21.44314913822661,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.421334222154768}",20,0,-29.129142506830988,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.41712087993322033}",25,0,-49.34569319535052,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.41294967113388814}",30,0,-23.985677404925397,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.40882017442254925}",30,0,-18.64032684801789,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
